epoch,n_seeds,train_loss_mean,train_loss_std,val_loss_mean,val_loss_std,val_acc_mean,val_acc_std,val_f1_mean,val_f1_std
1,8,0.830389689549851,0.006869707518868623,1.6039899389570245,0.10157869232311914,0.3710224232655889,0.008199751744416268,0.26066753892447614,0.013995305856594647
2,8,0.7178244731491029,0.006132950590193739,1.6588440065889924,0.2388796149014074,0.3773932204827847,0.01714620109147013,0.2700641602859012,0.013984922948369694
3,8,0.6679610981886563,0.00576552556479286,1.7694237749433248,0.11861187064400305,0.3691411612435563,0.029816725111167088,0.2612599454876541,0.024968932839454745
4,8,0.6341829073179843,0.007089588073123528,1.776507373465969,0.22993225532498665,0.3822532495295,0.032558722086827516,0.27218289925494377,0.0269301086374001
5,8,0.6104321643703112,0.006345088784199938,1.7876020680237328,0.24330585218413917,0.384494367833095,0.031702021342645714,0.27972087185638106,0.028601630978580258
6,8,0.5884587885604882,0.012148205092161343,1.790071979534381,0.22002780555558366,0.40107172397976354,0.02992538106603112,0.2964760596341904,0.027946152116637733
7,8,0.5689558312000168,0.01134277323032871,2.0378070435838818,0.18654527440447058,0.3869607857099971,0.02780216136019597,0.279193988472292,0.027801540362467094
8,8,0.5515356402991246,0.012025106818454173,1.961274875582972,0.3064924837914134,0.4069020849886983,0.01881016111331998,0.29957692996185586,0.016413630951753477
9,8,0.535621133465845,0.013701509438898233,2.1622577797958984,0.3769163135443481,0.3895209095404677,0.022315726532003904,0.2816317707843563,0.020180996390098065
10,8,0.5189377083407982,0.014740654693169092,2.0438716914311037,0.23879980426798766,0.4051249591167681,0.012808565618178764,0.2972798580715957,0.017181770070029554
11,1,0.5477096846770109,,2.6333319398784516,,0.37559860300048237,,0.26246004001843437,
12,1,0.5363962298222906,,2.391324154003477,,0.3728867326162819,,0.27364732825130283,
