model,lr,lr_label,seed,dataset,epochs_trained,best_epoch,test_acc,test_f1_macro,base_test_acc,delta_vs_joint
lstm,0.001617,primary,42,DodgerLoopGame,10,10,0.5217391304347826,0.34285714285714286,0.473731884057971,0.048007246376811585
lstm,0.001617,primary,42,DodgerLoopWeekend,10,10,0.7536231884057971,0.5403605015673981,0.6711956521739131,0.08242753623188404
lstm,0.001617,primary,42,Earthquakes,7,2,0.7482014388489209,0.4279835390946502,0.6151079136690647,0.13309352517985618
lstm,0.001617,primary,42,FordA,10,9,0.9068181818181819,0.9064832195668715,0.715814393939394,0.1910037878787879
lstm,0.001617,primary,42,FordB,10,10,0.5901234567901235,0.5108980328250494,0.6385802469135803,-0.04845679012345683
lstm,0.001617,primary,42,FreezerRegularTrain,10,7,0.7652631578947369,0.7651483993840758,0.6873684210526315,0.07789473684210535
lstm,0.001617,primary,42,FreezerSmallTrain,10,10,0.6403508771929824,0.6084918765331137,0.6017543859649123,0.038596491228070184
lstm,0.001617,primary,42,GesturePebbleZ1,10,10,0.2441860465116279,0.17959391231702446,0.2347383720930232,0.009447674418604696
lstm,0.001617,primary,42,GesturePebbleZ2,10,10,0.3860759493670886,0.3177368927368927,0.2120253164556962,0.17405063291139242
lstm,0.001617,primary,42,InsectWingbeatSound,10,10,0.0994949494949495,0.02917053838273034,0.1147727272727272,-0.01527777777777771
lstm,0.001617,primary,42,ItalyPowerDemand,10,10,0.685131195335277,0.6850952093093547,0.5949951409135082,0.09013605442176875
lstm,0.001617,primary,42,Lightning2,10,10,0.7049180327868853,0.702922077922078,0.5389344262295082,0.1659836065573771
lstm,0.001617,primary,42,Lightning7,10,10,0.3013698630136986,0.11038961038961038,0.1900684931506849,0.11130136986301373
lstm,0.001617,primary,42,MoteStrain,10,10,0.8099041533546326,0.8031446540880504,0.5943490415335463,0.21555511182108633
lstm,0.001617,primary,42,Phoneme,6,1,0.019514767932489453,0.0009816016023982915,0.0372494725738396,-0.017734704641350147
lstm,0.001617,primary,42,PickupGestureWiimoteZ,10,10,0.18,0.07031463748290014,0.095,0.08499999999999999
lstm,0.001617,primary,42,Plane,10,10,0.2571428571428571,0.12063492063492064,0.2964285714285714,-0.03928571428571426
lstm,0.001617,primary,42,ShakeGestureWiimoteZ,10,10,0.16,0.0946078431372549,0.12,0.04000000000000001
lstm,0.001617,primary,42,SonyAIBORobotSurface1,10,10,0.47420965058236275,0.38306912681912686,0.6295757071547421,-0.15536605657237934
lstm,0.001617,primary,42,SonyAIBORobotSurface2,10,10,0.7607555089192025,0.7027448533998752,0.6382476390346274,0.12250786988457507
lstm,0.001617,primary,42,StarLightCurves,10,9,0.7865468674113647,0.7490048128296835,0.7347771976687713,0.05176966974259345
lstm,0.001617,primary,42,Trace,10,10,0.39,0.33167157901200456,0.355,0.03500000000000003
lstm,0.001617,primary,42,Wafer,8,3,0.8921155094094744,0.4714910400411558,0.8539097988319273,0.03820571057754707
lstm,0.001617,primary,63,AllGestureWiimoteX,10,9,0.2714285714285714,0.24255217935843545,0.1396428571428571,0.1317857142857143
lstm,0.001617,primary,63,AllGestureWiimoteY,10,10,0.21857142857142858,0.17274671312141968,0.165,0.053571428571428575
lstm,0.001617,primary,63,AllGestureWiimoteZ,10,10,0.23285714285714285,0.17561668339887376,0.1523214285714285,0.08053571428571435
lstm,0.001617,primary,63,Car,6,1,0.23333333333333334,0.0945945945945946,0.2416666666666666,-0.008333333333333276
lstm,0.001617,primary,63,ChlorineConcentration,10,10,0.22916666666666666,0.12429378531073447,0.3520833333333333,-0.12291666666666665
lstm,0.001617,primary,63,CinCECGTorso,6,1,0.24855072463768116,0.1000583430571762,0.2831521739130435,-0.03460144927536232
lstm,0.001617,primary,63,DodgerLoopDay,10,8,0.1625,0.039938556067588324,0.1671875,-0.004687499999999983
lstm,0.001617,primary,63,DodgerLoopGame,6,1,0.4782608695652174,0.3235294117647059,0.473731884057971,0.004528985507246397
lstm,0.001617,primary,63,DodgerLoopWeekend,10,10,0.9202898550724637,0.8957059429749227,0.6711956521739131,0.24909420289855067
lstm,0.001617,primary,63,Earthquakes,6,1,0.7482014388489209,0.4279835390946502,0.6151079136690647,0.13309352517985618
lstm,0.001617,primary,63,FordA,10,10,0.8545454545454545,0.8538040706890544,0.715814393939394,0.13873106060606055
lstm,0.001617,primary,63,FordB,9,4,0.528395061728395,0.39886230290408065,0.6385802469135803,-0.11018518518518527
lstm,0.001617,primary,63,FreezerRegularTrain,10,10,0.7624561403508772,0.7624455823767606,0.6873684210526315,0.07508771929824565
lstm,0.001617,primary,63,FreezerSmallTrain,10,10,0.7028070175438597,0.6920357965409061,0.6017543859649123,0.1010526315789474
lstm,0.001617,primary,63,GesturePebbleZ1,10,10,0.25,0.14473304473304474,0.2347383720930232,0.015261627906976799
lstm,0.001617,primary,63,GesturePebbleZ2,10,10,0.310126582278481,0.22745499047896756,0.2120253164556962,0.0981012658227848
lstm,0.001617,primary,63,InsectWingbeatSound,10,10,0.12828282828282828,0.05501637880172105,0.1147727272727272,0.01351010101010107
lstm,0.001617,primary,63,ItalyPowerDemand,10,9,0.565597667638484,0.49865880442305704,0.5949951409135082,-0.02939747327502429
lstm,0.001617,primary,63,Lightning2,10,10,0.6885245901639344,0.6854816824966079,0.5389344262295082,0.14959016393442626
lstm,0.001617,primary,63,Lightning7,10,10,0.3150684931506849,0.15103501150012777,0.1900684931506849,0.12500000000000003
lstm,0.001617,primary,63,MoteStrain,10,10,0.8186900958466453,0.8157934478612702,0.5943490415335463,0.22434105431309903
lstm,0.001617,primary,63,Phoneme,6,1,0.00949367088607595,0.001085154714150252,0.0372494725738396,-0.027755801687763648
lstm,0.001617,primary,63,PickupGestureWiimoteZ,10,10,0.2,0.1065891472868217,0.095,0.10500000000000001
lstm,0.001617,primary,63,Plane,10,9,0.1619047619047619,0.039812646370023415,0.2964285714285714,-0.13452380952380946
lstm,0.001617,primary,63,ShakeGestureWiimoteZ,10,10,0.1,0.01886792452830189,0.12,-0.01999999999999999
lstm,0.001617,primary,63,SonyAIBORobotSurface1,10,10,0.4442595673876872,0.3290975935828877,0.6295757071547421,-0.1853161397670549
lstm,0.001617,primary,63,SonyAIBORobotSurface2,10,10,0.7334732423924449,0.6547810560423513,0.6382476390346274,0.09522560335781749
lstm,0.001617,primary,63,StarLightCurves,10,6,0.7818115590092278,0.7198784400341697,0.7347771976687713,0.047034361340456576
lstm,0.001617,primary,63,Trace,10,10,0.51,0.3407756626934709,0.355,0.15500000000000003
lstm,0.001617,primary,63,Wafer,10,7,0.8921155094094744,0.4714910400411558,0.8539097988319273,0.03820571057754707
lstm,0.001617,primary,84,AllGestureWiimoteX,10,10,0.23714285714285716,0.1994746837176623,0.1396428571428571,0.09750000000000006
lstm,0.001617,primary,84,AllGestureWiimoteY,10,10,0.27714285714285714,0.2306134525174079,0.165,0.11214285714285713
lstm,0.001617,primary,84,AllGestureWiimoteZ,10,10,0.21428571428571427,0.14829608827064109,0.1523214285714285,0.06196428571428578
lstm,0.001617,primary,84,Car,10,7,0.21666666666666667,0.08904109589041095,0.2416666666666666,-0.02499999999999994
lstm,0.001617,primary,84,ChlorineConcentration,10,9,0.42239583333333336,0.29714783474146816,0.3520833333333333,0.07031250000000006
lstm,0.001617,primary,84,CinCECGTorso,6,1,0.28840579710144926,0.1922063340850766,0.2831521739130435,0.005253623188405776
lstm,0.001617,primary,84,DodgerLoopDay,10,8,0.15,0.037267080745341616,0.1671875,-0.017187499999999994
lstm,0.001617,primary,84,DodgerLoopGame,6,1,0.5217391304347826,0.34285714285714286,0.473731884057971,0.048007246376811585
lstm,0.001617,primary,84,DodgerLoopWeekend,10,10,0.7318840579710145,0.4225941422594142,0.6711956521739131,0.06068840579710144
lstm,0.001617,primary,84,Earthquakes,6,1,0.2517985611510791,0.20114942528735633,0.6151079136690647,-0.3633093525179856
lstm,0.001617,primary,84,FordA,10,9,0.9106060606060606,0.9102597489393182,0.715814393939394,0.1947916666666667
lstm,0.001617,primary,84,FordB,10,9,0.7790123456790123,0.775661110414839,0.6385802469135803,0.14043209876543206
lstm,0.001617,primary,84,FreezerRegularTrain,10,9,0.7670175438596492,0.7670036601750108,0.6873684210526315,0.07964912280701764
lstm,0.001617,primary,84,FreezerSmallTrain,10,10,0.6807017543859649,0.6645160856355192,0.6017543859649123,0.07894736842105265
lstm,0.001617,primary,84,GesturePebbleZ1,10,9,0.20930232558139536,0.17495969521094254,0.2347383720930232,-0.02543604651162784
lstm,0.001617,primary,84,GesturePebbleZ2,10,10,0.43037974683544306,0.31727331865193753,0.2120253164556962,0.21835443037974686
lstm,0.001617,primary,84,InsectWingbeatSound,10,10,0.09090909090909091,0.01515151515151515,0.1147727272727272,-0.023863636363636295
lstm,0.001617,primary,84,ItalyPowerDemand,10,10,0.5014577259475219,0.3339805825242718,0.5949951409135082,-0.09353741496598633
lstm,0.001617,primary,84,Lightning2,10,10,0.6557377049180327,0.6418786692759295,0.5389344262295082,0.11680327868852458
lstm,0.001617,primary,84,Lightning7,10,10,0.273972602739726,0.1793999104343932,0.1900684931506849,0.08390410958904113
lstm,0.001617,primary,84,MoteStrain,6,1,0.7212460063897763,0.6900847226211881,0.5943490415335463,0.12689696485623003
lstm,0.001617,primary,84,Phoneme,10,10,0.04377637130801688,0.009082910951730718,0.0372494725738396,0.006526898734177278
lstm,0.001617,primary,84,PickupGestureWiimoteZ,10,10,0.14,0.05299145299145299,0.095,0.04500000000000001
lstm,0.001617,primary,84,Plane,10,9,0.1619047619047619,0.039812646370023415,0.2964285714285714,-0.13452380952380946
lstm,0.001617,primary,84,ShakeGestureWiimoteZ,10,10,0.16,0.08,0.12,0.04000000000000001
lstm,0.001617,primary,84,SonyAIBORobotSurface1,10,10,0.5224625623960066,0.4616460204059339,0.6295757071547421,-0.10711314475873546
lstm,0.001617,primary,84,SonyAIBORobotSurface2,10,10,0.7471143756558237,0.6793910925296462,0.6382476390346274,0.10886673662119628
lstm,0.001617,primary,84,StarLightCurves,10,10,0.7887323943661971,0.7385700590544685,0.7347771976687713,0.05395519669742588
lstm,0.001617,primary,84,Trace,10,10,0.45,0.3797466422466423,0.355,0.09500000000000003
lstm,0.001617,primary,84,Wafer,8,3,0.8921155094094744,0.4714910400411558,0.8539097988319273,0.03820571057754707
lstm,0.001617,primary,105,AllGestureWiimoteX,10,10,0.28714285714285714,0.2646877628538473,0.1396428571428571,0.14750000000000005
lstm,0.001617,primary,105,AllGestureWiimoteY,10,9,0.24285714285714285,0.16807949529042954,0.165,0.07785714285714285
lstm,0.001617,primary,105,AllGestureWiimoteZ,10,10,0.21428571428571427,0.15575917376795959,0.1523214285714285,0.06196428571428578
lstm,0.001617,primary,105,Car,10,6,0.21666666666666667,0.08904109589041095,0.2416666666666666,-0.02499999999999994
lstm,0.001617,primary,105,ChlorineConcentration,10,7,0.5325520833333334,0.2316624185783064,0.3520833333333333,0.18046875000000007
lstm,0.001617,primary,105,CinCECGTorso,8,3,0.2536231884057971,0.10115606936416185,0.2831521739130435,-0.029528985507246364
lstm,0.001617,primary,105,DodgerLoopDay,7,2,0.15,0.037267080745341616,0.1671875,-0.017187499999999994
lstm,0.001617,primary,105,DodgerLoopGame,6,1,0.4782608695652174,0.3235294117647059,0.473731884057971,0.004528985507246397
lstm,0.001617,primary,105,DodgerLoopWeekend,10,10,0.7391304347826086,0.425,0.6711956521739131,0.06793478260869557
lstm,0.001617,primary,105,Earthquakes,9,4,0.7482014388489209,0.4279835390946502,0.6151079136690647,0.13309352517985618
lstm,0.001617,primary,105,FordA,10,7,0.9151515151515152,0.9149639125803253,0.715814393939394,0.19933712121212122
lstm,0.001617,primary,105,FordB,10,6,0.7592592592592593,0.7574995509250944,0.6385802469135803,0.12067901234567902
lstm,0.001617,primary,105,FreezerRegularTrain,10,9,0.6564912280701755,0.6299698249320885,0.6873684210526315,-0.03087719298245606
lstm,0.001617,primary,105,FreezerSmallTrain,10,10,0.7596491228070176,0.7593468879783647,0.6017543859649123,0.1578947368421053
lstm,0.001617,primary,105,GesturePebbleZ1,10,8,0.3430232558139535,0.2512940239355334,0.2347383720930232,0.10828488372093029
lstm,0.001617,primary,105,GesturePebbleZ2,10,10,0.23417721518987342,0.16989676420250976,0.2120253164556962,0.022151898734177222
lstm,0.001617,primary,105,InsectWingbeatSound,10,10,0.09090909090909091,0.01515151515151515,0.1147727272727272,-0.023863636363636295
lstm,0.001617,primary,105,ItalyPowerDemand,10,10,0.49854227405247814,0.3326848249027237,0.5949951409135082,-0.0964528668610301
lstm,0.001617,primary,105,Lightning2,10,10,0.7049180327868853,0.7009803921568627,0.5389344262295082,0.1659836065573771
lstm,0.001617,primary,105,Lightning7,10,10,0.1780821917808219,0.08590674481672644,0.1900684931506849,-0.011986301369862978
lstm,0.001617,primary,105,MoteStrain,6,1,0.7044728434504792,0.6884415891873279,0.5943490415335463,0.11012380191693294
lstm,0.001617,primary,105,Phoneme,10,10,0.02689873417721519,0.004975579675736288,0.0372494725738396,-0.010350738396624409
lstm,0.001617,primary,105,PickupGestureWiimoteZ,10,10,0.16,0.09331202046035805,0.095,0.065
lstm,0.001617,primary,105,Plane,10,10,0.3238095238095238,0.24652435686918445,0.2964285714285714,0.02738095238095245
lstm,0.001617,primary,105,ShakeGestureWiimoteZ,10,10,0.14,0.07637362637362637,0.12,0.020000000000000018
lstm,0.001617,primary,105,SonyAIBORobotSurface1,10,10,0.47587354409317806,0.38594101219262994,0.6295757071547421,-0.15370216306156403
lstm,0.001617,primary,105,SonyAIBORobotSurface2,10,10,0.7345225603357818,0.6547917158831404,0.6382476390346274,0.09627492130115434
lstm,0.001617,primary,105,StarLightCurves,10,9,0.7615347255949491,0.7224657135648656,0.7347771976687713,0.026757527926177804
lstm,0.001617,primary,105,Trace,10,10,0.6,0.4853423412745447,0.355,0.245
lstm,0.001617,primary,105,Wafer,9,4,0.8921155094094744,0.4714910400411558,0.8539097988319273,0.03820571057754707
lstm,0.001617,primary,126,AllGestureWiimoteX,10,10,0.3242857142857143,0.28578460832336694,0.1396428571428571,0.1846428571428572
lstm,0.001617,primary,126,AllGestureWiimoteY,10,10,0.23714285714285716,0.19124328055019352,0.165,0.07214285714285715
lstm,0.001617,primary,126,AllGestureWiimoteZ,10,5,0.1757142857142857,0.10084377109524248,0.1523214285714285,0.023392857142857215
lstm,0.001617,primary,126,Car,6,1,0.23333333333333334,0.0945945945945946,0.2416666666666666,-0.008333333333333276
lstm,0.001617,primary,126,ChlorineConcentration,6,1,0.5325520833333334,0.2316624185783064,0.3520833333333333,0.18046875000000007
lstm,0.001617,primary,126,CinCECGTorso,7,2,0.2753623188405797,0.14924666868564507,0.2831521739130435,-0.007789855072463769
lstm,0.001617,primary,126,DodgerLoopDay,10,6,0.15,0.037267080745341616,0.1671875,-0.017187499999999994
lstm,0.001617,primary,126,DodgerLoopGame,6,1,0.5217391304347826,0.34285714285714286,0.473731884057971,0.048007246376811585
lstm,0.001617,primary,126,DodgerLoopWeekend,10,10,0.7318840579710145,0.4225941422594142,0.6711956521739131,0.06068840579710144
lstm,0.001617,primary,126,Earthquakes,8,3,0.2517985611510791,0.20114942528735633,0.6151079136690647,-0.3633093525179856
lstm,0.001617,primary,126,FordA,10,9,0.9083333333333333,0.9078955942469923,0.715814393939394,0.19251893939393938
lstm,0.001617,primary,126,FordB,10,10,0.7876543209876543,0.7869672652541959,0.6385802469135803,0.14907407407407403
lstm,0.001617,primary,126,FreezerRegularTrain,10,7,0.7617543859649123,0.7608108513991604,0.6873684210526315,0.07438596491228078
lstm,0.001617,primary,126,FreezerSmallTrain,10,10,0.6989473684210527,0.6907503587867468,0.6017543859649123,0.09719298245614039
lstm,0.001617,primary,126,GesturePebbleZ1,10,10,0.29069767441860467,0.22641414141414143,0.2347383720930232,0.05595930232558147
lstm,0.001617,primary,126,GesturePebbleZ2,10,10,0.310126582278481,0.24119380409012026,0.2120253164556962,0.0981012658227848
lstm,0.001617,primary,126,InsectWingbeatSound,10,9,0.12575757575757576,0.07050733320837642,0.1147727272727272,0.010984848484848556
lstm,0.001617,primary,126,ItalyPowerDemand,10,10,0.5860058309037901,0.5055875373329604,0.5949951409135082,-0.008989310009718143
lstm,0.001617,primary,126,Lightning2,10,10,0.7049180327868853,0.702922077922078,0.5389344262295082,0.1659836065573771
lstm,0.001617,primary,126,Lightning7,10,9,0.3013698630136986,0.13345864661654133,0.1900684931506849,0.11130136986301373
lstm,0.001617,primary,126,MoteStrain,10,10,0.8115015974440895,0.8080453198898185,0.5943490415335463,0.21715255591054317
lstm,0.001617,primary,126,Phoneme,8,3,0.05379746835443038,0.002618002618002618,0.0372494725738396,0.016547995780590782
lstm,0.001617,primary,126,PickupGestureWiimoteZ,10,10,0.16,0.10586611456176673,0.095,0.065
lstm,0.001617,primary,126,Plane,10,9,0.1619047619047619,0.04497354497354498,0.2964285714285714,-0.13452380952380946
lstm,0.001617,primary,126,ShakeGestureWiimoteZ,10,10,0.14,0.0534965034965035,0.12,0.020000000000000018
lstm,0.001617,primary,126,SonyAIBORobotSurface1,10,10,0.43427620632279534,0.3100723893900924,0.6295757071547421,-0.19529950083194675
lstm,0.001617,primary,126,SonyAIBORobotSurface2,10,10,0.6768100734522561,0.53904090657822,0.6382476390346274,0.03856243441762863
lstm,0.001617,primary,126,StarLightCurves,9,4,0.7703982515784361,0.7233124470249601,0.7347771976687713,0.03562105390966486
lstm,0.001617,primary,126,Trace,10,10,0.47,0.3132440476190476,0.355,0.11499999999999999
lstm,0.001617,primary,126,Wafer,10,7,0.8921155094094744,0.4714910400411558,0.8539097988319273,0.03820571057754707
lstm,0.001617,primary,147,AllGestureWiimoteX,10,10,0.3442857142857143,0.3036745894149916,0.1396428571428571,0.2046428571428572
lstm,0.001617,primary,147,AllGestureWiimoteY,10,9,0.26857142857142857,0.21630674315797963,0.165,0.10357142857142856
lstm,0.001617,primary,147,AllGestureWiimoteZ,10,10,0.2571428571428571,0.2142663983110399,0.1523214285714285,0.10482142857142862
lstm,0.001617,primary,147,Car,10,6,0.31666666666666665,0.12025316455696203,0.2416666666666666,0.07500000000000004
lstm,0.001617,primary,147,ChlorineConcentration,10,9,0.46328125,0.2964835452869505,0.3520833333333333,0.11119791666666667
lstm,0.001617,primary,147,CinCECGTorso,6,1,0.29637681159420287,0.19355520797126635,0.2831521739130435,0.01322463768115939
lstm,0.001617,primary,147,DodgerLoopDay,8,3,0.15,0.037267080745341616,0.1671875,-0.017187499999999994
lstm,0.001617,primary,147,DodgerLoopGame,7,2,0.4782608695652174,0.3235294117647059,0.473731884057971,0.004528985507246397
lstm,0.001617,primary,147,DodgerLoopWeekend,10,10,0.8043478260869565,0.6650184302796008,0.6711956521739131,0.13315217391304346
lstm,0.001617,primary,147,Earthquakes,10,8,0.2517985611510791,0.20114942528735633,0.6151079136690647,-0.3633093525179856
lstm,0.001617,primary,147,FordA,10,8,0.6765151515151515,0.6613877910004993,0.715814393939394,-0.03929924242424243
lstm,0.001617,primary,147,FordB,10,7,0.7950617283950617,0.7950417355145145,0.6385802469135803,0.15648148148148144
lstm,0.001617,primary,147,FreezerRegularTrain,10,8,0.7617543859649123,0.761678070133631,0.6873684210526315,0.07438596491228078
lstm,0.001617,primary,147,FreezerSmallTrain,10,10,0.6915789473684211,0.6783014408535789,0.6017543859649123,0.0898245614035088
lstm,0.001617,primary,147,GesturePebbleZ1,10,10,0.2616279069767442,0.1811617097761676,0.2347383720930232,0.026889534883721006
lstm,0.001617,primary,147,GesturePebbleZ2,10,10,0.21518987341772153,0.1627969989977114,0.2120253164556962,0.0031645569620253333
lstm,0.001617,primary,147,InsectWingbeatSound,10,10,0.09090909090909091,0.015300267754685707,0.1147727272727272,-0.023863636363636295
lstm,0.001617,primary,147,ItalyPowerDemand,10,8,0.7453838678328474,0.7344280704519485,0.5949951409135082,0.15038872691933913
lstm,0.001617,primary,147,Lightning2,10,10,0.6721311475409836,0.6611111111111111,0.5389344262295082,0.13319672131147542
lstm,0.001617,primary,147,Lightning7,10,10,0.2465753424657534,0.1659205134731809,0.1900684931506849,0.056506849315068525
lstm,0.001617,primary,147,MoteStrain,10,10,0.7987220447284346,0.7949413884274317,0.5943490415335463,0.20437300319488827
lstm,0.001617,primary,147,Phoneme,10,10,0.03322784810126582,0.009138477792171883,0.0372494725738396,-0.00402162447257378
lstm,0.001617,primary,147,PickupGestureWiimoteZ,10,10,0.2,0.0866346153846154,0.095,0.10500000000000001
lstm,0.001617,primary,147,Plane,10,9,0.20952380952380953,0.08941784441921466,0.2964285714285714,-0.08690476190476185
lstm,0.001617,primary,147,ShakeGestureWiimoteZ,10,10,0.18,0.06339066339066339,0.12,0.06
lstm,0.001617,primary,147,SonyAIBORobotSurface1,10,10,0.5657237936772047,0.5249875085169202,0.6295757071547421,-0.06385191347753738
lstm,0.001617,primary,147,SonyAIBORobotSurface2,10,10,0.757607555089192,0.700548049181599,0.6382476390346274,0.11935991605456453
lstm,0.001617,primary,147,StarLightCurves,10,8,0.7824186498300145,0.7325893446785314,0.7347771976687713,0.04764145216124327
lstm,0.001617,primary,147,Trace,10,10,0.56,0.4453187613843351,0.355,0.20500000000000007
lstm,0.001617,primary,147,Wafer,8,3,0.8921155094094744,0.4714910400411558,0.8539097988319273,0.03820571057754707
lstm,0.0002,secondary,7,AllGestureWiimoteX,10,10,0.15142857142857144,0.07135738605273291,0.1396428571428571,0.011785714285714344
lstm,0.0002,secondary,7,AllGestureWiimoteY,10,10,0.16285714285714287,0.082107264843203,0.165,-0.002142857142857141
lstm,0.0002,secondary,7,AllGestureWiimoteZ,10,10,0.10285714285714286,0.03792718141509219,0.1523214285714285,-0.04946428571428564
lstm,0.0002,secondary,7,Car,10,10,0.23333333333333334,0.12483870967741936,0.2416666666666666,-0.008333333333333276
lstm,0.0002,secondary,7,ChlorineConcentration,10,10,0.5325520833333334,0.2316624185783064,0.3520833333333333,0.18046875000000007
lstm,0.0002,secondary,7,CinCECGTorso,10,10,0.22318840579710145,0.12300046519554333,0.2831521739130435,-0.059963768115942034
lstm,0.0002,secondary,7,DodgerLoopDay,10,5,0.1375,0.03453689167974882,0.1671875,-0.029687499999999978
lstm,0.0002,secondary,7,DodgerLoopGame,10,10,0.4782608695652174,0.3235294117647059,0.473731884057971,0.004528985507246397
lstm,0.0002,secondary,7,DodgerLoopWeekend,10,10,0.782608695652174,0.6445741758241759,0.6711956521739131,0.11141304347826086
lstm,0.0002,secondary,7,Earthquakes,10,7,0.7482014388489209,0.4279835390946502,0.6151079136690647,0.13309352517985618
lstm,0.0002,secondary,7,FordA,10,10,0.8803030303030303,0.8801310420139088,0.715814393939394,0.1644886363636363
lstm,0.0002,secondary,7,FordB,10,9,0.6851851851851852,0.6701380293881384,0.6385802469135803,0.046604938271604945
lstm,0.0002,secondary,7,FreezerRegularTrain,10,10,0.5,0.3333333333333333,0.6873684210526315,-0.18736842105263152
lstm,0.0002,secondary,7,FreezerSmallTrain,10,10,0.5,0.3333333333333333,0.6017543859649123,-0.10175438596491226
lstm,0.0002,secondary,7,GesturePebbleZ1,10,10,0.29651162790697677,0.1866043747231866,0.2347383720930232,0.06177325581395357
lstm,0.0002,secondary,7,GesturePebbleZ2,10,10,0.11392405063291139,0.06692125841062012,0.2120253164556962,-0.0981012658227848
lstm,0.0002,secondary,7,InsectWingbeatSound,10,10,0.12424242424242424,0.041710594080872826,0.1147727272727272,0.00946969696969703
lstm,0.0002,secondary,7,ItalyPowerDemand,10,10,0.7259475218658892,0.7097616304191272,0.5949951409135082,0.13095238095238093
lstm,0.0002,secondary,7,Lightning2,10,10,0.7049180327868853,0.6983516483516483,0.5389344262295082,0.1659836065573771
lstm,0.0002,secondary,7,Lightning7,10,10,0.2876712328767123,0.11813804173354736,0.1900684931506849,0.09760273972602743
lstm,0.0002,secondary,7,MoteStrain,6,1,0.6621405750798722,0.655408135578663,0.5943490415335463,0.06779153354632594
lstm,0.0002,secondary,7,Phoneme,6,1,0.04219409282700422,0.0033163411421043587,0.0372494725738396,0.004944620253164618
lstm,0.0002,secondary,7,PickupGestureWiimoteZ,10,10,0.12,0.04,0.095,0.024999999999999994
lstm,0.0002,secondary,7,Plane,10,10,0.09523809523809523,0.025510204081632654,0.2964285714285714,-0.20119047619047614
lstm,0.0002,secondary,7,ShakeGestureWiimoteZ,10,10,0.12,0.03502051983584131,0.12,0.0
lstm,0.0002,secondary,7,SonyAIBORobotSurface1,10,10,0.4559068219633943,0.35061806718940514,0.6295757071547421,-0.17366888519134777
lstm,0.0002,secondary,7,SonyAIBORobotSurface2,10,10,0.621196222455404,0.39340354366458435,0.6382476390346274,-0.01705141657922349
lstm,0.0002,secondary,7,StarLightCurves,10,10,0.7620203982515784,0.7324908287555442,0.7347771976687713,0.02724320058280716
lstm,0.0002,secondary,7,Trace,10,10,0.19,0.07983193277310924,0.355,-0.16499999999999998
lstm,0.0002,secondary,7,Wafer,10,7,0.8921155094094744,0.4714910400411558,0.8539097988319273,0.03820571057754707
lstm,0.0002,secondary,21,AllGestureWiimoteX,10,10,0.1,0.018252933507170797,0.1396428571428571,-0.03964285714285709
lstm,0.0002,secondary,21,AllGestureWiimoteY,10,10,0.15142857142857144,0.07282750668995604,0.165,-0.013571428571428568
lstm,0.0002,secondary,21,AllGestureWiimoteZ,10,10,0.10571428571428572,0.03101283101283101,0.1523214285714285,-0.04660714285714278
lstm,0.0002,secondary,21,Car,10,9,0.21666666666666667,0.08904109589041095,0.2416666666666666,-0.02499999999999994
lstm,0.0002,secondary,21,ChlorineConcentration,6,1,0.5325520833333334,0.2316624185783064,0.3520833333333333,0.18046875000000007
lstm,0.0002,secondary,21,CinCECGTorso,6,1,0.26956521739130435,0.17935281653659785,0.2831521739130435,-0.013586956521739135
lstm,0.0002,secondary,21,DodgerLoopDay,6,1,0.15,0.037267080745341616,0.1671875,-0.017187499999999994
lstm,0.0002,secondary,21,DodgerLoopGame,6,1,0.4782608695652174,0.3235294117647059,0.473731884057971,0.004528985507246397
lstm,0.0002,secondary,21,DodgerLoopWeekend,10,10,0.855072463768116,0.791980705456738,0.6711956521739131,0.18387681159420288
lstm,0.0002,secondary,21,Earthquakes,6,1,0.2517985611510791,0.20114942528735633,0.6151079136690647,-0.3633093525179856
lstm,0.0002,secondary,21,FordA,10,10,0.8772727272727273,0.8759165256627186,0.715814393939394,0.16145833333333337
lstm,0.0002,secondary,21,FordB,10,10,0.7481481481481481,0.7439267051406823,0.6385802469135803,0.10956790123456783
lstm,0.0002,secondary,21,FreezerRegularTrain,10,10,0.5,0.3333333333333333,0.6873684210526315,-0.18736842105263152
lstm,0.0002,secondary,21,FreezerSmallTrain,10,10,0.6294736842105263,0.5931101279561571,0.6017543859649123,0.027719298245614032
lstm,0.0002,secondary,21,GesturePebbleZ1,6,1,0.19186046511627908,0.08365317385935943,0.2347383720930232,-0.04287790697674412
lstm,0.0002,secondary,21,GesturePebbleZ2,10,10,0.189873417721519,0.08549019607843138,0.2120253164556962,-0.022151898734177194
lstm,0.0002,secondary,21,InsectWingbeatSound,10,10,0.09090909090909091,0.01515151515151515,0.1147727272727272,-0.023863636363636295
lstm,0.0002,secondary,21,ItalyPowerDemand,7,2,0.5753158406219631,0.535865018098945,0.5949951409135082,-0.019679300291545188
lstm,0.0002,secondary,21,Lightning2,10,10,0.5245901639344263,0.43751987281399046,0.5389344262295082,-0.0143442622950819
lstm,0.0002,secondary,21,Lightning7,10,10,0.136986301369863,0.03442340791738382,0.1900684931506849,-0.05308219178082188
lstm,0.0002,secondary,21,MoteStrain,6,1,0.3266773162939297,0.27204030747902375,0.5943490415335463,-0.2676717252396166
lstm,0.0002,secondary,21,Phoneme,6,1,0.004219409282700422,0.00021547080370609782,0.0372494725738396,-0.03303006329113918
