model,condition,n_seeds,mean,std,cv_pct,ci95
cnn,head_bn_eval,8,0.44216835800191984,0.01638986300653411,3.706701917929403,0.011357595609146029
cnn,head,8,0.6253111587266056,0.01165041889377822,1.863139451645695,0.008073328399385366
cnn,full,8,0.6467665224981348,0.012278062412950182,1.8983763051813787,0.008508263168188163
cnn,scratch,8,0.47895015512960565,0.018430429755718687,3.848089317505565,0.012771636223241987
lstm,head,8,0.41968851949521785,0.04745081786507491,11.306198683286972,0.032881739183537394
lstm,full,8,0.46117666089072473,0.052719082308393325,11.43142894667973,0.03653246018623273
lstm,scratch,8,0.44882892863873713,0.01482590356898486,3.303241529896627,0.01027382701183009
